,coarse,fine,english,indo
264,ENTY,word,What is the longest word in the English language ?,Apa kata terpanjang dalam bahasa Inggris?
265,ENTY,word,What 's the Hungarian word for pepper ?,Apa kata Hongaria untuk lada?
266,ENTY,word,What is the longest English word that can be formed using just the first row of letters on a typewriter ?,Apa kata bahasa Inggris terpanjang yang dapat dibentuk hanya dengan menggunakan baris pertama huruf pada mesin tik?
0,ABBR,abb,What is the abbreviation of the company name ` General Motors ' ?,Apa singkatan dari nama perusahaan `General Motors '?
1,ABBR,abb,What 's the abbreviation for trinitrotoluene ?,Apa singkatan dari trinitrotoluene?
2,ENTY,animal,What is the West Virginia state animal ?,Apa binatang negara bagian Virginia Barat?
3,ENTY,animal,What is the fastest fish in the world ?,Apa ikan tercepat di dunia?
4,ENTY,animal,What creature scares people in the film  Jaws  ?,Makhluk apa yang membuat orang takut pada film Jaws?
5,ENTY,animal,"Which mammal lives , breeds , eats , and sleeps underground ?","Mamalia yang hidup, berkembang biak, makan, dan tidur di bawah tanah?"
6,ENTY,animal,Who were John F. Kennedy 's dogs ?,Siapa anjing John F. Kennedy?
7,ENTY,body,The corpus callosum is in what part of the body ?,Corpus callosum ada di bagian tubuh mana?
8,ENTY,body,What part of your body contains the corpus callosum ?,Bagian mana dari tubuh Anda yang mengandung corpus callosum?
9,LOC,city,What Scandinavian capital is built on nine bridge-connected islands ?,Ibu kota Skandinavia apa yang dibangun di sembilan pulau yang terhubung dengan jembatan?
10,LOC,city,What is the largest city on the Great Lakes ?,Apa kota terbesar di Great Lakes?
11,LOC,city,What were the first three cities to have a population of more than a million ?,Apa tiga kota pertama yang memiliki populasi lebih dari satu juta?
12,LOC,city,What is California 's capital ?,Apa itu ibukota California?
13,LOC,city,What is the most populated city in the world ?,Apa kota terpadat di dunia?
14,LOC,city,Which large U.S. city had the highest murder rate for 1988 ?,Kota besar AS mana yang memiliki tingkat pembunuhan tertinggi untuk tahun 1988?
15,NUM,code,What is Columbia Tristar 's phone number ?,Berapa nomor telepon Columbia Tristar?
16,NUM,code,What is the telephone number for the University of Kentucky ?,Berapa nomor telepon untuk University of Kentucky?
17,ENTY,color,What color is most often used to symbolize truth ?,Warna apa yang paling sering digunakan untuk melambangkan kebenaran?
18,ENTY,color,What color of dry wine should be served with veal roasts and chops ?,Apa warna anggur kering yang harus disajikan dengan daging sapi panggang dan daging?
19,ENTY,color,What color are the castellated walls of the Kremlin ?,Apa warna tembok istana Kremlin?
20,ENTY,color,What color are tennis balls ?,Apa warna bola tenis?
21,NUM,count,What 's the American dollar equivalent for 8 pounds in the U.K. ?,Berapa setara dengan dolar Amerika untuk 8 pound di Inggris?
22,NUM,count,How many people have been Captain America ?,Berapa banyak orang yang pernah menjadi Kapten Amerika?
23,NUM,count,How many engines does a Boeing 737 have ?,Berapa banyak mesin yang dimiliki Boeing 737?
24,NUM,count,How many points are there on a Backgammon board ?,Berapa banyak poin yang ada di papan Backgammon?
25,NUM,count,How many films are made by the major studios in a year ?,Berapa banyak film yang dibuat oleh studio besar dalam setahun?
26,NUM,count,How many wives did Brigham Young have ?,Berapa banyak istri yang dimiliki Brigham Young?
27,NUM,count,How many small businesses are there in the U.S .,Berapa banyak usaha kecil yang ada di AS.
28,NUM,count,How many referees work a soccer game ?,Berapa banyak wasit yang bekerja di permainan sepakbola?
29,NUM,count,How many James Bond novels are there ?,Ada berapa banyak novel James Bond?
30,NUM,count,How much waste does an average dairy cow produce in a day ?,Berapa banyak limbah yang dihasilkan oleh sapi perah rata-rata dalam sehari?
31,NUM,count,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .","Berapa banyak orang di darat yang tewas akibat pemboman Pan Am Flight 103 di atas Lockerbie, Skotlandia, 21 Desember, CD."
32,NUM,count,How many years ago did the ship Titanic sink ?,Berapa tahun yang lalu kapal Titanic tenggelam?
33,NUM,count,What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?,Berapa jumlah pembunuhan dan upaya pembunuhan di AS sejak 1865?
34,NUM,count,How much electricity does the brain need to work ?,Berapa banyak listrik yang dibutuhkan otak untuk bekerja?
35,NUM,count,How many students attend the University of Massachusetts ?,Berapa banyak siswa yang kuliah di University of Massachusetts?
36,NUM,count,"How many casinos are in Atlantic City , NJ ?","Berapa banyak kasino di Atlantic City, NJ?"
37,NUM,count,How much snow equals an inch of rain ?,Berapa banyak salju sama dengan satu inci hujan?
38,LOC,country,What country has been called The Queen of the Antilles ?,Negara apa yang disebut Ratu Antilles?
39,LOC,country,What country other than Germany invaded Poland in September 1939 ?,Negara apa selain Jerman yang menginvasi Polandia pada bulan September 1939?
40,LOC,country,What African country is governed from Ouagadougou ?,Negara Afrika apa yang diperintah dari Ouagadougou?
41,LOC,country,What countries have the best math students ?,Negara mana yang memiliki siswa matematika terbaik?
42,LOC,country,What is Stefan Edberg 's native country ?,Apa negara asal Stefan Edberg?
43,LOC,country,What countries have the largest armed forces in the world ?,Negara apa yang memiliki angkatan bersenjata terbesar di dunia?
44,LOC,country,Which country is Australia 's largest export market ?,Negara mana yang merupakan pasar ekspor terbesar Australia?
45,ENTY,cremat,What was John F. Kennedy 's 1960 campaign song ?,Apa lagu kampanye 1960 John F. Kennedy?
46,ENTY,cremat,"What 1950 film won seven Oscars , including best picture ?","Apa film 1950 yang memenangkan tujuh Oscar, termasuk gambar terbaik?"
47,ENTY,cremat,What Broadway musical was inspired by Cervantes 's Don Quixote ?,Musikal Broadway apa yang diilhami oleh Don Quixote dari Cervantes?
48,ENTY,cremat,What song served as the closing theme of The Johnny Cash Show ?,Lagu apa yang menjadi tema penutup The Johnny Cash Show?
49,ENTY,cremat,What 1965 film had Jack Lemmon portraying a cartoonist ?,Apa film 1965 yang diperankan Jack Lemmon sebagai kartunis?
50,ENTY,cremat,What movie did Steven Spielberg direct in 1975 ?,Film apa yang disutradarai Steven Spielberg pada tahun 1975?
51,ENTY,cremat,What was Connecticut 's first constitution called ?,Apa yang disebut konstitusi pertama Connecticut?
52,ENTY,currency,What type of currency is used in China ?,Jenis mata uang apa yang digunakan di Tiongkok?
53,NUM,date,When is the site www.questions.com going to open ?,Kapan situs www.questions.com akan dibuka?
54,NUM,date,When did CNN begin broadcasting ?,Kapan CNN mulai siaran?
55,NUM,date,When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,Kapan Israel mulai mengubah Jalur Gaza dan Yerikho ke PLO?
56,NUM,date,In which year was New Zealand excluded from the ANZUS alliance ?,Di tahun mana Selandia Baru dikeluarkan dari aliansi ANZUS?
57,NUM,date,When did Gothic art and architecture flourish ?,Kapan seni dan arsitektur Gotik berkembang?
58,NUM,date,When did beethoven die ?,Kapan beethoven mati?
59,NUM,date,When were fish first believed to be found on earth ?,Kapan ikan pertama kali dipercaya ditemukan di bumi?
60,NUM,date,What year did the United States pass the Copyright law ?,Tahun berapa Amerika Serikat mengesahkan undang-undang Hak Cipta?
61,NUM,date,What year did the first issue of  Playboy  come out ?,Tahun berapa Playboy edisi pertama terbit?
62,NUM,date,On which date is the Ukrainians ' Christmas ?,Tanggal berapa Natal Ukraina?
63,DESC,def,What is the virus HIV ?,Apa itu virus HIV?
64,DESC,def,What does the word  meta  mean ?,Apa arti kata meta?
65,DESC,def,What are a baseball team 's firemen ?,Apa itu petugas pemadam kebakaran tim bisbol?
66,DESC,def,What is dextropropoxyphen napsylate ?,Apa itu dextropropoxyphen napsylate?
67,DESC,def,What is graduate school ?,Apa itu sekolah pascasarjana?
68,DESC,def,What does Venus Retrograde mean ?,Apa yang dimaksud dengan Venus Retrograde?
69,DESC,def,What is a virtual IP address ?,Apa itu alamat IP virtual?
70,DESC,def,What is the definition of  chancery  file in real estate ?,Apa definisi file kanselir dalam real estat?
71,DESC,def,What is cache memory ?,Apa itu memori cache?
72,DESC,def,What is meant by blood SED rate ?,Apa yang dimaksud dengan tingkat SED darah?
73,DESC,def,What does the name Billie mean ?,Apa arti nama Billie?
74,DESC,desc,What is the origin of the surname of Braun ?,Apa asal mula nama keluarga Braun?
75,DESC,desc,What was the outcome of the 1945 Yalta Conference ?,Apa hasil dari Konferensi Yalta 1945?
76,DESC,desc,What are the major differences in the Catholic and Methodist religions ?,Apa perbedaan utama dalam agama Katolik dan Metodis?
77,DESC,desc,What should you yell to hail a taxi in Madrid ?,Apa yang harus Anda berteriak memanggil taksi di Madrid?
78,DESC,desc,What is the origin of the peace symbol ?,Apa asal usul simbol perdamaian?
79,DESC,desc,What are the environmental influences on plant genetics ?,Apa pengaruh lingkungan pada genetika tanaman?
80,DESC,desc,What must a Las Vegas blackjack dealer do when he reaches 16 ?,Apa yang harus dilakukan dealer blackjack Las Vegas ketika dia mencapai usia 16?
81,DESC,desc,Where did marijuana come from ?,Dari mana datangnya ganja?
82,DESC,desc,What is the difference between a fruit and a vegetable ?,Apa perbedaan antara buah dan sayuran?
83,DESC,desc,What did Delilah do to Samson 's hair ?,Apa yang dilakukan Delilah terhadap rambut Samson?
84,DESC,desc,What do economists do ?,Apa yang dilakukan para ekonom?
85,HUM,desc,Who was Picasso ?,Siapa Picasso?
86,HUM,desc,Who is the  Queen Mother  ?,Siapakah Ibu Suri?
87,HUM,desc,Who is Desmond Tutu ?,Siapakah Desmond Tutu?
88,HUM,desc,Who is Prince Naseem Hamed ?,Siapakah Pangeran Naseem Hamed?
89,ENTY,dismed,What is another term for the painful wrist syndrome ?,Apa istilah lain untuk sindrom pergelangan tangan yang menyakitkan?
90,ENTY,dismed,What disease is transmitted by the Anopheles mosquito ?,Penyakit apa yang ditularkan oleh nyamuk Anopheles?
91,ENTY,dismed,What is a fear of night or darkness ?,Apa itu takut malam atau kegelapan?
92,ENTY,dismed,What is a fear of hell ?,Apa itu ketakutan akan neraka?
93,ENTY,dismed,What is the name of the disease that actress Hunter Tylo 's baby girl has ?,Apa nama penyakit yang dimiliki bayi perempuan aktris Hunter Tylo?
94,ENTY,dismed,What is a fear of childbirth ?,Apa yang dimaksud dengan rasa takut akan melahirkan?
95,NUM,dist,How tall is the replica of the Matterhorn at Disneyland ?,Berapa tinggi replika Matterhorn di Disneyland?
96,NUM,dist,How long was Mao 's 1930s Long March ?,Berapa lama Long March tahun 1930-an Mao?
97,NUM,dist,How wide is the Atlantic Ocean ?,Seberapa luas Samudra Atlantik?
98,ENTY,event,What astronomical phenomenon takes place in Jan. 1999 ?,Fenomena astronomi apa yang terjadi pada Januari 1999?
99,ENTY,event,What civil war was fought between 1936 and 1939 ?,Perang saudara apa yang terjadi antara tahun 1936 dan 1939?
100,ENTY,event,What are some important events of the 1830 's ?,Apa saja peristiwa penting dari tahun 1830-an?
101,ENTY,event,What was the name of the U.S. 's first manned space program ?,Apa nama program luar angkasa berawak pertama AS?
102,ABBR,exp,What does NECROSIS mean ?,Apa yang dimaksud dengan NECROSIS?
103,ABBR,exp,What does the  c  stand for in the equation E=mc2 ?,Apa artinya c dalam persamaan E = mc2?
104,ENTY,food,What delicacy is known indelicately as pickled roe ?,Kelezatan apa yang dikenal sebagai acar telur?
105,ENTY,food,"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?","Minuman ringan apa yang pertama kali muncul di Old Corner Drug Store di Waco, Texas, pada tahun 1885?"
106,ENTY,food,What 's known as The queen of Drinks ?,Apa yang dikenal sebagai Ratu Minuman?
107,ENTY,food,What fruit does the ficus produce ?,Buah apa yang dihasilkan ficus?
108,ENTY,food,What is the world 's best selling cookie ?,Apa kue terlaris di dunia?
109,ENTY,food,What do manatees eat ?,Apa yang dimakan manate?
110,HUM,gr,"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?","Kelompok apa yang dibentuk pada tahun 1969 setelah polisi mendapat perlawanan dari pengunjung di Stonewall, sebuah bar gay Greenwich Village?"
111,HUM,gr,What is the first personal computer company ?,Apa perusahaan komputer pribadi pertama?
112,HUM,gr,What ethnic group introduced the idea of potlatch ?,Kelompok etnis apa yang memperkenalkan ide potlatch?
113,HUM,gr,What is the world 's largest distilling company ?,Apa perusahaan penyulingan terbesar di dunia?
114,HUM,gr,Which major diamond producer is based in South Africa ?,Produsen berlian utama apa yang berbasis di Afrika Selatan?
115,HUM,gr,What is Pittsburgh 's baseball team called ?,Apa nama tim bisbol Pittsburgh?
116,HUM,gr,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,Apa nama kelompok teroris Irlandia ke-187 di daerah pertambangan Pennsylvania?
117,HUM,gr,What is the name of the company that manufactures the  American Girl  doll collection ?,Apa nama perusahaan yang memproduksi koleksi boneka American Girl?
118,HUM,gr,Who built the first pyramid ?,Siapa yang membangun piramida pertama?
119,HUM,ind,"Whose special bear 's creator was born on January 18 , 1779 ?",Pencipta beruang spesial siapa yang dilahirkan pada tanggal 18 Januari 1779?
120,HUM,ind,What was the name of the lawyer who represented Randy Craft ?,Siapa nama pengacara yang mewakili Randy Craft?
121,HUM,ind,Who holds the NFL record for most touchdowns in a season ?,Siapa yang memegang rekor NFL untuk gol terbanyak dalam satu musim?
122,HUM,ind,"Who says ,  If you don 't look good , we don 't look good  ?","Siapa bilang, Jika Anda tidak terlihat baik, kami tidak terlihat baik?"
123,HUM,ind,Who painted  Soft Self-Portrait with Grilled Bacon  ?,Siapa yang melukis Soft Self Portrait dengan Grilled Bacon?
124,HUM,ind,Who won the Nobel Peace Prize in 1991 ?,Siapa yang memenangkan Hadiah Nobel Perdamaian pada tahun 1991?
125,HUM,ind,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,Siapa satu-satunya perdana menteri Kanada yang melayani 22 tahun tetapi tidak harus secara berurutan?
126,HUM,ind,"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?",Siapa yang coba dibunuh oleh Arthur H. Bremer pada 15 Mei 1972?
127,HUM,ind,Who was Garrett Morgan married to ?,Kepada siapa Garrett Morgan menikah?
128,HUM,ind,Who has the only speaking role in  Silent Movie  ?,Siapa yang memiliki satu-satunya peran berbicara dalam Film Diam?
129,HUM,ind,Who was the first woman golfer to earn a million ?,Siapa pegolf wanita pertama yang menghasilkan satu juta?
130,HUM,ind,Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?,Siapa yang menggugat perusahaan Yougurt Dannon karena menggunakan karakter bernama Ron Raider untuk promosi?
131,HUM,ind,Who wrote The Red Badge of Courage ?,Siapa yang menulis Lencana Merah Keberanian?
132,HUM,ind,What 19th-century painter died in the Marquesas Islands ?,Pelukis abad ke-19 apa yang meninggal di Kepulauan Marquesas?
133,HUM,ind,Who discovered electricity ?,Siapa yang menemukan listrik?
134,HUM,ind,What pseudonym did William Sydney Porter use in writing The Gift of the Magi ?,Nama samaran apa yang digunakan William Sydney Porter dalam menulis The Gift of the Magi?
135,HUM,ind,"Who wrote the song ,  Stardust  ?","Siapa yang menulis lagu itu, Stardust?"
136,HUM,ind,What actor said in A Day at the Races :  Either he 's dead or my watch has stopped  ?,Apa kata aktor dalam A Day at the Races: Apakah dia sudah mati atau jam tangan saya sudah berhenti?
137,HUM,ind,Who sings the themes for  Dawson 's Creek  and  Felicity  ?,Siapa yang menyanyikan tema untuk Dawson's Creek and Felicity?
138,HUM,ind,Who was the 16th President of the United States ?,Siapakah Presiden Amerika Serikat ke-16?
139,HUM,ind,Who is the founder of Scientology ?,Siapa pendiri Scientology?
140,HUM,ind,"Who wrote the book ,  The Grinch Who Stole Christmas  ?","Siapa yang menulis buku, The Grinch Who Stole Christmas?"
141,HUM,ind,What explorer was nicknamed Iberia 's Pilot ?,Penjelajah apa yang dijuluki Pilot Iberia?
142,HUM,ind,Who gave Abbie Hoffman his first dose of LSD ?,Siapa yang memberi Abbie Hoffman dosis LSD pertamanya?
143,HUM,ind,"Who was the mother of the man who would not be king , the duke of Windsor ?","Siapa ibu dari orang yang tidak akan menjadi raja, adipati Windsor?"
144,HUM,ind,Who killed Kurt Cobain ?,Siapa yang membunuh Kurt Cobain?
145,HUM,ind,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?","Siapa penyair Amerika pertama yang memenangkan Hadiah Nobel untuk sastra, pada tahun 1948?"
146,HUM,ind,What attorneys work for The Center for the Defense of Free Enterprise ?,Pengacara apa yang bekerja untuk Pusat Pertahanan Perusahaan Bebas?
147,HUM,ind,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,Siapa aktris utama dalam film `Sleepless in Seattle '?
148,HUM,ind,Who is the Queen of Holland ?,Siapakah Ratu Belanda?
149,ENTY,instru,What kind of guitar did Jimi Hendrix play ?,Gitar apa yang dimainkan Jimi Hendrix?
150,ENTY,instru,What instrument does Benny Carter play ?,Instrumen apa yang dimainkan Benny Carter?
151,ENTY,lang,What is the primary language of the Philippines ?,Apa bahasa utama Filipina?
152,ENTY,lang,What 's the official language of Algeria ?,Apa bahasa resmi Aljazair?
153,ENTY,letter,What is the alphabet for Latin ?,Apa alfabet untuk bahasa Latin?
154,ENTY,letter,What letter appears on the cold-water tap in Spain ?,Surat apa yang muncul pada keran air dingin di Spanyol?
155,DESC,manner,How can I easily remove red wine stains from t-shirts ?,Bagaimana saya bisa dengan mudah menghilangkan noda anggur merah dari kaos?
156,DESC,manner,How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,Bagaimana saya bisa mengetahui berapa banyak pajak penghasilan yang dibayarkan atas pendapatan Jaminan Sosial atas pajak penghasilan tahun 1998?
157,DESC,manner,How did the war of 1812 affect Delaware ?,Bagaimana perang tahun 1812 memengaruhi Delaware?
158,DESC,manner,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,Bagaimana Anda mengirim transkrip film ke Hollywood sehingga dapat diproduksi menjadi film?
159,DESC,manner,How is water treated to make it safe to drink ?,Bagaimana air diolah agar aman untuk diminum?
160,DESC,manner,How do I e-mail someone at aol.com from yahoo.com ?,Bagaimana cara mengirim email kepada seseorang di aol.com dari yahoo.com?
161,DESC,manner,How can you prevent it ?,Bagaimana Anda bisa mencegahnya?
162,DESC,manner,How do windmills work ?,Bagaimana cara kerja kincir angin?
163,DESC,manner,How do you ask a total stranger out on a date ?,Bagaimana Anda mengajak orang asing keluar berkencan?
164,DESC,manner,How do storms form ?,Bagaimana badai terbentuk?
165,DESC,manner,How did Rocky Marciano die ?,Bagaimana Rocky Marciano mati?
166,NUM,money,What is the average salary of a paleontologist ?,Berapa gaji rata-rata seorang ahli paleontologi?
167,NUM,money,How much will gas be taxed in California by the year 2000 ?,Berapa banyak gas yang akan dikenakan pajak di California pada tahun 2000?
168,NUM,money,How much did a McDonald 's hamburger cost in 1963 ?,Berapa harga hamburger McDonald pada tahun 1963?
169,NUM,money,What is the average cost for four years of medical school ?,Berapa biaya rata-rata selama empat tahun sekolah kedokteran?
170,NUM,money,What is average salary of restaurant manager in United States ?,Berapa gaji rata-rata manajer restoran di Amerika Serikat?
171,LOC,mount,Where is the highest point in Japan ?,Di mana titik tertinggi di Jepang?
172,LOC,mount,What are the four largest mountain ranges on the Asian continent ?,Apa empat jajaran gunung terbesar di benua Asia?
173,LOC,mount,What 's the second-highest mountain in the world ?,Apa gunung tertinggi kedua di dunia?
174,NUM,ord,What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?,Bab berapa pada Gone with the Wind dimana Rhett Butler meninggalkan Scarlett O 'Hara?
175,ENTY,other,What trade did the 15th and 16th century Portuguese hope to control between Asia and Europe ?,Perdagangan apa yang diharapkan Portugis pada abad ke 15 dan 16 untuk mengendalikan antara Asia dan Eropa?
176,ENTY,other,What are the 7 articles of the constitution ?,Apa saja 7 pasal konstitusi?
177,ENTY,other,What does it take to be a hero ?,Apa yang diperlukan untuk menjadi pahlawan?
178,ENTY,other,What did Vasco da Gama discover ?,Apa yang ditemukan Vasco da Gama?
179,ENTY,other,What 's the shape of a camel 's spine ?,Bagaimana bentuk tulang punggung unta?
180,ENTY,other,Which of the five senses develops first ?,Manakah dari panca indera yang pertama kali berkembang?
181,ENTY,other,What do Hasidic Jews refrain from while dating ?,Apa yang dihindari orang Yahudi Hasid saat berpacaran?
182,LOC,other,Where is Windsor Castle ?,Di mana Windsor Castle?
183,LOC,other,Where must a soccer goalie stand to be permitted to handle the ball ?,Di mana harus berdiri kiper sepak bola diizinkan untuk menangani bola?
184,LOC,other,Where is Mozambique located ?,Di mana Mozambik berada?
185,LOC,other,Where can I find information on George Bush ?,Di mana saya dapat menemukan informasi tentang George Bush?
186,LOC,other,What is the website for the USA journal ?,Apa situs web untuk jurnal USA?
187,LOC,other,What desert has been called The Garden of Allah ?,Gurun apa yang disebut Taman Allah?
188,LOC,other,What is the brightest star visible from Earth ?,Apa bintang paling terang yang terlihat dari Bumi?
189,LOC,other,Where did surfing originate ?,Dari mana asalnya berselancar?
190,LOC,other,Where can stocks be traded on-line ?,Di mana saham dapat diperdagangkan secara online?
191,LOC,other,Where can I find the status of my tax return ?,Di mana saya dapat menemukan status pengembalian pajak saya?
192,LOC,other,Where is Trinidad ?,Dimanakah Trinidad?
193,LOC,other,Where does Ray Bradbury 's Chronicles take place ?,Di mana Ray Bradbury's Chronicles berlangsung?
194,LOC,other,Where can I find a  Fifth Element  screensaver ?,Di mana saya dapat menemukan screensaver Fifth Element?
195,LOC,other,Where was Lincoln assassinated ?,Di mana Lincoln dibunuh?
196,LOC,other,Where did Honecker rule ?,Di mana Honecker memerintah?
197,LOC,other,What lake is Sheboygan on ?,Danau apa itu tempat Sheboygan?
198,LOC,other,Where can I find a list of  classic  books 5th and 6th graders should read ?,Di mana saya dapat menemukan daftar buku klasik yang harus dibaca oleh siswa kelas 5 dan 6?
199,LOC,other,Where can I find correct tabs for Third Eye Blind songs ?,Di mana saya dapat menemukan tab yang benar untuk lagu Third Eye Blind?
200,LOC,other,What is worth seeing in Reims ?,Apa yang pantas dilihat di Reims?
201,LOC,other,Where did the world come from ?,Dari mana dunia berasal?
202,LOC,other,Where is the Virtual Desk Reference ?,Di mana Referensi Meja Virtual?
203,NUM,other,What are the numbers that fit into Fermont 's last theorem ?,Berapa angka yang cocok dengan teorema terakhir Fermont?
204,NUM,other,What is the chromosome number of an elephant ?,Berapa jumlah kromosom gajah?
205,NUM,other,What is the normal resting heart rate of a healthy adult ?,Berapa denyut jantung istirahat normal orang dewasa yang sehat?
206,NUM,perc,Independent silversmith 's account for what percentage of silver production ?,Akun pengrajin perak independen berapa persentase produksi perak?
207,NUM,perc,What percentage of the body is muscle ?,Berapa persentase tubuh yang merupakan otot?
208,NUM,perc,What was the target rate for M3 growth in 1992 ?,Berapa tingkat target pertumbuhan M3 pada tahun 1992?
209,NUM,period,How long would it take to get from Earth to Mars ?,Berapa lama untuk pergi dari Bumi ke Mars?
210,NUM,period,What is the youngest age a boy or girl can have an orgasm ?,Berapakah usia termuda yang bisa dicapai seorang pria atau wanita?
211,NUM,period,How long does it take the Milky Way Galaxy to make one revolution ?,Berapa lama waktu yang dibutuhkan galaksi Bima Sakti untuk membuat satu revolusi?
212,NUM,period,How long should a person wash their hands before they are clean ?,Berapa lama seseorang harus mencuci tangan sebelum bersih?
213,ENTY,plant,What flower did Vincent Van Gogh paint ?,Bunga apa yang dilukis Vincent Van Gogh?
214,ENTY,plant,What is the most widely cultivated plant ?,Apa tanaman yang paling banyak dibudidayakan?
215,ENTY,product,What is the fastest computer ?,Apa itu komputer tercepat?
216,ENTY,product,What is the best brand for a laptop computer ?,Apa merek terbaik untuk komputer laptop?
217,ENTY,product,"What shampoo prevents eczema , seborrhea , and psoriasis ?","Shampo apa yang mencegah eksim, seborea, dan psoriasis?"
218,ENTY,product,What is the brand name of a chemical used to control ripening ?,Apa nama merek bahan kimia yang digunakan untuk mengontrol pematangan?
219,DESC,reason,Why were people recruited for the Vietnam War ?,Mengapa orang-orang direkrut untuk Perang Vietnam?
220,DESC,reason,What 's the claim to fame of night watchman Frank Wills ?,"Apa klaim ketenaran penjaga malam, Frank Wills?"
221,DESC,reason,What are the most common causes of death in the U.S. ?,Apa penyebab kematian paling umum di AS?
222,DESC,reason,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,Mengapa Muhammad Ali dicopot dari gelarnya dan dilarang bertinju pada tahun 1967?
223,DESC,reason,Why do many Native American students not complete college ?,Mengapa banyak siswa asli Amerika tidak menyelesaikan kuliah?
224,DESC,reason,Why do oceans contain salt water instead of fresh water ?,Mengapa lautan mengandung air asin dan bukannya air tawar?
225,DESC,reason,What is Archimedes famous for ?,Apa yang terkenal dengan Archimedes?
226,DESC,reason,What causes someone to be ticklish ?,Apa yang menyebabkan seseorang geli?
227,DESC,reason,What function does homeostasis have on the existence of an organism ?,Fungsi apa yang dimiliki homeostasis pada keberadaan suatu organisme?
228,DESC,reason,What is Garry Kasparov famous for ?,Apa yang terkenal dengan Garry Kasparov?
229,DESC,reason,Why do girls have to wear training bras ?,Mengapa perempuan harus memakai bra pelatihan?
230,ENTY,religion,What religion has the most members ?,Agama apa yang memiliki pengikit terbanyak?
231,NUM,speed,What is the speed of the Mississippi River ?,Berapa kecepatan Sungai Mississippi?
232,NUM,speed,What is the speed of the Mississippi River ?,Berapa kecepatan Sungai Mississippi?
233,ENTY,sport,"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?","Olahraga dalam ruangan apa yang membuat Phoenix Inferno menjadi Kebanggaan Phoenix pada 14 Juli 1983, ketika suhunya mencapai 111 derajat?"
234,ENTY,sport,The second most popular sport worldwide is what ?,Olahraga paling populer kedua di dunia adalah apa?
235,ENTY,sport,What kind of sport is often associated with hooligans ?,Jenis olahraga apa yang sering dikaitkan dengan hooligan?
236,ENTY,sport,What game is fatal to anybody over 21 ?,Game apa yang fatal bagi siapa pun yang berusia di atas 21?
237,LOC,state,What is the fastest growing state in the U.S.A. in 1998 ?,Apa negara dengan pertumbuhan tercepat di AS pada tahun 1998?
238,LOC,state,What U.S. state 's biggest lake is Lake Sam Rayburn ?,Apa danau terbesar negara bagian AS adalah Danau Sam Rayburn?
239,LOC,state,What state was named the Green Mountain state ?,Negara apa yang disebut negara Green Mountain?
240,ENTY,substance,What did the ancients call the four great elements ?,Apa yang dahulu disebut empat unsur utama?
241,ENTY,substance,What are the stars made of ?,Terbuat dari apakah bintang-bintang itu?
242,ENTY,substance,What are the most common elements in seawater ?,Apa elemen paling umum di air laut?
243,ENTY,substance,What was paper made of in the late 16th century ?,Terbuat dari apakah kertas pada akhir abad ke-16?
244,ENTY,symbol,What is the chemical formula for napalm ?,Apa rumus kimia untuk napalm?
245,ENTY,symbol,What playing card symbolizes death ?,Kartu bermain apa yang melambangkan kematian?
246,ENTY,techmeth,In what ways did Ivan IV support Russian expansion ?,Dalam hal apa Ivan IV mendukung ekspansi Rusia?
247,ENTY,techmeth,What 's an easy way to count the approximate number of fish in a lake ?,Apa cara mudah untuk menghitung perkiraan jumlah ikan di danau?
248,ENTY,techmeth,What is the treatment for depression ?,Apa pengobatan untuk depresi?
249,NUM,temp,How hot does the inside of an active volcano get ?,Seberapa panas bagian dalam gunung berapi yang aktif?
250,NUM,temp,What is the temperature for cooking ?,Berapa suhu untuk memasak?
251,ENTY,termeq,What is the term for someone who hates mankind ?,Apa istilah untuk seseorang yang membenci umat manusia?
252,ENTY,termeq,What are dinosaur droppings called ?,Disebut apakah kotoran dinosaurus?
253,ENTY,termeq,"How do you say ,  I love you  in other languages ?","Bagaimana kamu mengucapkan, aku mencintaimu dalam bahasa lain?"
254,HUM,title,What is Nicholas Cage 's occupation ?,Apa pekerjaan Nicholas Cage?
255,HUM,title,What title did Suzette Charles assume for two months in 1984 ?,Gelar apa yang diasumsikan Suzette Charles selama dua bulan pada tahun 1984?
256,HUM,title,What title does comedian Henry Youngman claim ?,Apa gelar yang didapatkan oleh komedian Henry Youngman?
