coarse,fine,english,indo
ENTY,body,The corpus callosum is in what part of the body ?,Corpus callosum ada di bagian tubuh mana?
ENTY,body,What part of your body contains the corpus callosum ?,Bagian mana dari tubuh Anda yang mengandung corpus callosum?
LOC,city,What Scandinavian capital is built on nine bridge-connected islands ?,Ibu kota Skandinavia apa yang dibangun di sembilan pulau yang terhubung dengan jembatan?
LOC,city,What is the largest city on the Great Lakes ?,Apa kota terbesar di Great Lakes?
LOC,city,What were the first three cities to have a population of more than a million ?,Apa tiga kota pertama yang memiliki populasi lebih dari satu juta?
LOC,city,What is California 's capital ?,Apa itu ibukota California?
LOC,city,What is the most populated city in the world ?,Apa kota terpadat di dunia?
LOC,city,Which large U.S. city had the highest murder rate for 1988 ?,Kota besar AS mana yang memiliki tingkat pembunuhan tertinggi untuk tahun 1988?
NUM,code,What is Columbia Tristar 's phone number ?,Berapa nomor telepon Columbia Tristar?
NUM,code,What is the telephone number for the University of Kentucky ?,Berapa nomor telepon untuk University of Kentucky?
ENTY,color,What color is most often used to symbolize truth ?,Warna apa yang paling sering digunakan untuk melambangkan kebenaran?
ENTY,color,What color of dry wine should be served with veal roasts and chops ?,Apa warna anggur kering yang harus disajikan dengan daging sapi panggang dan daging?
ENTY,color,What color are the castellated walls of the Kremlin ?,Apa warna tembok istana Kremlin?
ENTY,color,What color are tennis balls ?,Apa warna bola tenis?
NUM,count,What 's the American dollar equivalent for 8 pounds in the U.K. ?,Berapa setara dengan dolar Amerika untuk 8 pound di Inggris?
NUM,count,How many people have been Captain America ?,Berapa banyak orang yang pernah menjadi Kapten Amerika?
NUM,count,How many engines does a Boeing 737 have ?,Berapa banyak mesin yang dimiliki Boeing 737?
NUM,count,How many points are there on a Backgammon board ?,Berapa banyak poin yang ada di papan Backgammon?
NUM,count,How many films are made by the major studios in a year ?,Berapa banyak film yang dibuat oleh studio besar dalam setahun?
NUM,count,How many wives did Brigham Young have ?,Berapa banyak istri yang dimiliki Brigham Young?
NUM,count,How many small businesses are there in the U.S .,Berapa banyak usaha kecil yang ada di AS.
NUM,count,How many referees work a soccer game ?,Berapa banyak wasit yang bekerja di permainan sepakbola?
NUM,count,How many James Bond novels are there ?,Ada berapa banyak novel James Bond?
NUM,count,How much waste does an average dairy cow produce in a day ?,Berapa banyak limbah yang dihasilkan oleh sapi perah rata-rata dalam sehari?
NUM,count,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .","Berapa banyak orang di darat yang tewas akibat pemboman Pan Am Flight 103 di atas Lockerbie, Skotlandia, 21 Desember, CD."
NUM,count,How many years ago did the ship Titanic sink ?,Berapa tahun yang lalu kapal Titanic tenggelam?
NUM,count,What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?,Berapa jumlah pembunuhan dan upaya pembunuhan di AS sejak 1865?
NUM,count,How much electricity does the brain need to work ?,Berapa banyak listrik yang dibutuhkan otak untuk bekerja?
NUM,count,How many students attend the University of Massachusetts ?,Berapa banyak siswa yang kuliah di University of Massachusetts?
NUM,count,"How many casinos are in Atlantic City , NJ ?","Berapa banyak kasino di Atlantic City, NJ?"
NUM,count,How much snow equals an inch of rain ?,Berapa banyak salju sama dengan satu inci hujan?
LOC,country,What country has been called The Queen of the Antilles ?,Negara apa yang disebut Ratu Antilles?
LOC,country,What country other than Germany invaded Poland in September 1939 ?,Negara apa selain Jerman yang menginvasi Polandia pada bulan September 1939?
LOC,country,What African country is governed from Ouagadougou ?,Negara Afrika apa yang diperintah dari Ouagadougou?
LOC,country,What countries have the best math students ?,Negara mana yang memiliki siswa matematika terbaik?
LOC,country,What is Stefan Edberg 's native country ?,Apa negara asal Stefan Edberg?
LOC,country,What countries have the largest armed forces in the world ?,Negara apa yang memiliki angkatan bersenjata terbesar di dunia?
LOC,country,Which country is Australia 's largest export market ?,Negara mana yang merupakan pasar ekspor terbesar Australia?
ENTY,cremat,What was John F. Kennedy 's 1960 campaign song ?,Apa lagu kampanye 1960 John F. Kennedy?
ENTY,cremat,"What 1950 film won seven Oscars , including best picture ?","Apa film 1950 yang memenangkan tujuh Oscar, termasuk gambar terbaik?"
ENTY,cremat,What Broadway musical was inspired by Cervantes 's Don Quixote ?,Musikal Broadway apa yang diilhami oleh Don Quixote dari Cervantes?
ENTY,cremat,What song served as the closing theme of The Johnny Cash Show ?,Lagu apa yang menjadi tema penutup The Johnny Cash Show?
ENTY,cremat,What 1965 film had Jack Lemmon portraying a cartoonist ?,Apa film 1965 yang diperankan Jack Lemmon sebagai kartunis?
ENTY,cremat,What movie did Steven Spielberg direct in 1975 ?,Film apa yang disutradarai Steven Spielberg pada tahun 1975?
ENTY,cremat,What was Connecticut 's first constitution called ?,Apa yang disebut konstitusi pertama Connecticut?
ENTY,currency,What type of currency is used in China ?,Jenis mata uang apa yang digunakan di Tiongkok?
NUM,date,When is the site www.questions.com going to open ?,Kapan situs www.questions.com akan dibuka?
NUM,date,When did CNN begin broadcasting ?,Kapan CNN mulai siaran?
NUM,date,When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,Kapan Israel mulai mengubah Jalur Gaza dan Yerikho ke PLO?
NUM,date,In which year was New Zealand excluded from the ANZUS alliance ?,Di tahun mana Selandia Baru dikeluarkan dari aliansi ANZUS?
NUM,date,When did Gothic art and architecture flourish ?,Kapan seni dan arsitektur Gotik berkembang?
NUM,date,When did beethoven die ?,Kapan beethoven mati?
NUM,date,When were fish first believed to be found on earth ?,Kapan ikan pertama kali dipercaya ditemukan di bumi?
NUM,date,What year did the United States pass the Copyright law ?,Tahun berapa Amerika Serikat mengesahkan undang-undang Hak Cipta?
NUM,date,What year did the first issue of  Playboy  come out ?,Tahun berapa Playboy edisi pertama terbit?
NUM,date,On which date is the Ukrainians ' Christmas ?,Tanggal berapa Natal Ukraina?
DESC,def,What is the virus HIV ?,Apa itu virus HIV?
DESC,def,What does the word  meta  mean ?,Apa arti kata meta?
DESC,def,What are a baseball team 's firemen ?,Apa itu petugas pemadam kebakaran tim bisbol?
DESC,def,What is dextropropoxyphen napsylate ?,Apa itu dextropropoxyphen napsylate?
DESC,def,What is graduate school ?,Apa itu sekolah pascasarjana?
DESC,def,What does Venus Retrograde mean ?,Apa yang dimaksud dengan Venus Retrograde?
DESC,def,What is a virtual IP address ?,Apa itu alamat IP virtual?
DESC,def,What is the definition of  chancery  file in real estate ?,Apa definisi file kanselir dalam real estat?
DESC,def,What is cache memory ?,Apa itu memori cache?
DESC,def,What is meant by blood SED rate ?,Apa yang dimaksud dengan tingkat SED darah?
DESC,def,What does the name Billie mean ?,Apa arti nama Billie?
DESC,desc,What is the origin of the surname of Braun ?,Apa asal mula nama keluarga Braun?
DESC,desc,What was the outcome of the 1945 Yalta Conference ?,Apa hasil dari Konferensi Yalta 1945?
DESC,desc,What are the major differences in the Catholic and Methodist religions ?,Apa perbedaan utama dalam agama Katolik dan Metodis?
DESC,desc,What should you yell to hail a taxi in Madrid ?,Apa yang harus Anda berteriak memanggil taksi di Madrid?
DESC,desc,What is the origin of the peace symbol ?,Apa asal usul simbol perdamaian?
DESC,desc,What are the environmental influences on plant genetics ?,Apa pengaruh lingkungan pada genetika tanaman?
DESC,desc,What must a Las Vegas blackjack dealer do when he reaches 16 ?,Apa yang harus dilakukan dealer blackjack Las Vegas ketika dia mencapai usia 16?
DESC,desc,Where did marijuana come from ?,Dari mana datangnya ganja?
DESC,desc,What is the difference between a fruit and a vegetable ?,Apa perbedaan antara buah dan sayuran?
DESC,desc,What did Delilah do to Samson 's hair ?,Apa yang dilakukan Delilah terhadap rambut Samson?
DESC,desc,What do economists do ?,Apa yang dilakukan para ekonom?
HUM,desc,Who was Picasso ?,Siapa Picasso?
HUM,desc,Who is the  Queen Mother  ?,Siapakah Ibu Suri?
HUM,desc,Who is Desmond Tutu ?,Siapakah Desmond Tutu?
HUM,desc,Who is Prince Naseem Hamed ?,Siapakah Pangeran Naseem Hamed?
ENTY,dismed,What is another term for the painful wrist syndrome ?,Apa istilah lain untuk sindrom pergelangan tangan yang menyakitkan?
ENTY,dismed,What disease is transmitted by the Anopheles mosquito ?,Penyakit apa yang ditularkan oleh nyamuk Anopheles?
ENTY,dismed,What is a fear of night or darkness ?,Apa itu takut malam atau kegelapan?
ENTY,dismed,What is a fear of hell ?,Apa itu ketakutan akan neraka?
ENTY,dismed,What is the name of the disease that actress Hunter Tylo 's baby girl has ?,Apa nama penyakit yang dimiliki bayi perempuan aktris Hunter Tylo?
ENTY,dismed,What is a fear of childbirth ?,Apa yang dimaksud dengan rasa takut akan melahirkan?
NUM,dist,How tall is the replica of the Matterhorn at Disneyland ?,Berapa tinggi replika Matterhorn di Disneyland?
NUM,dist,How long was Mao 's 1930s Long March ?,Berapa lama Long March tahun 1930-an Mao?
NUM,dist,How wide is the Atlantic Ocean ?,Seberapa luas Samudra Atlantik?
ENTY,event,What astronomical phenomenon takes place in Jan. 1999 ?,Fenomena astronomi apa yang terjadi pada Januari 1999?
ENTY,event,What civil war was fought between 1936 and 1939 ?,Perang saudara apa yang terjadi antara tahun 1936 dan 1939?
ENTY,event,What are some important events of the 1830 's ?,Apa saja peristiwa penting dari tahun 1830-an?
ENTY,event,What was the name of the U.S. 's first manned space program ?,Apa nama program luar angkasa berawak pertama AS?
ABBR,exp,What does NECROSIS mean ?,Apa yang dimaksud dengan NECROSIS?
ABBR,exp,What does the  c  stand for in the equation E=mc2 ?,Apa artinya c dalam persamaan E = mc2?
ENTY,food,What delicacy is known indelicately as pickled roe ?,Kelezatan apa yang dikenal sebagai acar telur?
ENTY,food,"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?","Minuman ringan apa yang pertama kali muncul di Old Corner Drug Store di Waco, Texas, pada tahun 1885?"
ENTY,food,What 's known as The queen of Drinks ?,Apa yang dikenal sebagai Ratu Minuman?
ENTY,food,What fruit does the ficus produce ?,Buah apa yang dihasilkan ficus?
ENTY,food,What is the world 's best selling cookie ?,Apa kue terlaris di dunia?
ENTY,food,What do manatees eat ?,Apa yang dimakan manate?
HUM,gr,"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?","Kelompok apa yang dibentuk pada tahun 1969 setelah polisi mendapat perlawanan dari pengunjung di Stonewall, sebuah bar gay Greenwich Village?"
HUM,gr,What is the first personal computer company ?,Apa perusahaan komputer pribadi pertama?
HUM,gr,What ethnic group introduced the idea of potlatch ?,Kelompok etnis apa yang memperkenalkan ide potlatch?
HUM,gr,What is the world 's largest distilling company ?,Apa perusahaan penyulingan terbesar di dunia?
HUM,gr,Which major diamond producer is based in South Africa ?,Produsen berlian utama apa yang berbasis di Afrika Selatan?
HUM,gr,What is Pittsburgh 's baseball team called ?,Apa nama tim bisbol Pittsburgh?
HUM,gr,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,Apa nama kelompok teroris Irlandia ke-187 di daerah pertambangan Pennsylvania?
HUM,gr,What is the name of the company that manufactures the  American Girl  doll collection ?,Apa nama perusahaan yang memproduksi koleksi boneka American Girl?
HUM,gr,Who built the first pyramid ?,Siapa yang membangun piramida pertama?
HUM,ind,"Whose special bear 's creator was born on January 18 , 1779 ?",Pencipta beruang spesial siapa yang dilahirkan pada tanggal 18 Januari 1779?
HUM,ind,What was the name of the lawyer who represented Randy Craft ?,Siapa nama pengacara yang mewakili Randy Craft?
HUM,ind,Who holds the NFL record for most touchdowns in a season ?,Siapa yang memegang rekor NFL untuk gol terbanyak dalam satu musim?
HUM,ind,"Who says ,  If you don 't look good , we don 't look good  ?","Siapa bilang, Jika Anda tidak terlihat baik, kami tidak terlihat baik?"
HUM,ind,Who painted  Soft Self-Portrait with Grilled Bacon  ?,Siapa yang melukis Soft Self Portrait dengan Grilled Bacon?
HUM,ind,Who won the Nobel Peace Prize in 1991 ?,Siapa yang memenangkan Hadiah Nobel Perdamaian pada tahun 1991?
HUM,ind,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,Siapa satu-satunya perdana menteri Kanada yang melayani 22 tahun tetapi tidak harus secara berurutan?
HUM,ind,"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?",Siapa yang coba dibunuh oleh Arthur H. Bremer pada 15 Mei 1972?
HUM,ind,Who was Garrett Morgan married to ?,Kepada siapa Garrett Morgan menikah?
HUM,ind,Who has the only speaking role in  Silent Movie  ?,Siapa yang memiliki satu-satunya peran berbicara dalam Film Diam?
HUM,ind,Who was the first woman golfer to earn a million ?,Siapa pegolf wanita pertama yang menghasilkan satu juta?
HUM,ind,Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?,Siapa yang menggugat perusahaan Yougurt Dannon karena menggunakan karakter bernama Ron Raider untuk promosi?
HUM,ind,Who wrote The Red Badge of Courage ?,Siapa yang menulis Lencana Merah Keberanian?
HUM,ind,What 19th-century painter died in the Marquesas Islands ?,Pelukis abad ke-19 apa yang meninggal di Kepulauan Marquesas?
HUM,ind,Who discovered electricity ?,Siapa yang menemukan listrik?
HUM,ind,What pseudonym did William Sydney Porter use in writing The Gift of the Magi ?,Nama samaran apa yang digunakan William Sydney Porter dalam menulis The Gift of the Magi?
HUM,ind,"Who wrote the song ,  Stardust  ?","Siapa yang menulis lagu itu, Stardust?"
HUM,ind,What actor said in A Day at the Races :  Either he 's dead or my watch has stopped  ?,Apa kata aktor dalam A Day at the Races: Apakah dia sudah mati atau jam tangan saya sudah berhenti?
HUM,ind,Who sings the themes for  Dawson 's Creek  and  Felicity  ?,Siapa yang menyanyikan tema untuk Dawson's Creek and Felicity?
HUM,ind,Who was the 16th President of the United States ?,Siapakah Presiden Amerika Serikat ke-16?
HUM,ind,Who is the founder of Scientology ?,Siapa pendiri Scientology?
HUM,ind,"Who wrote the book ,  The Grinch Who Stole Christmas  ?","Siapa yang menulis buku, The Grinch Who Stole Christmas?"
HUM,ind,What explorer was nicknamed Iberia 's Pilot ?,Penjelajah apa yang dijuluki Pilot Iberia?
HUM,ind,Who gave Abbie Hoffman his first dose of LSD ?,Siapa yang memberi Abbie Hoffman dosis LSD pertamanya?
HUM,ind,"Who was the mother of the man who would not be king , the duke of Windsor ?","Siapa ibu dari orang yang tidak akan menjadi raja, adipati Windsor?"
HUM,ind,Who killed Kurt Cobain ?,Siapa yang membunuh Kurt Cobain?
HUM,ind,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?","Siapa penyair Amerika pertama yang memenangkan Hadiah Nobel untuk sastra, pada tahun 1948?"
HUM,ind,What attorneys work for The Center for the Defense of Free Enterprise ?,Pengacara apa yang bekerja untuk Pusat Pertahanan Perusahaan Bebas?
HUM,ind,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,Siapa aktris utama dalam film `Sleepless in Seattle '?
HUM,ind,Who is the Queen of Holland ?,Siapakah Ratu Belanda?
ENTY,instru,What kind of guitar did Jimi Hendrix play ?,Gitar apa yang dimainkan Jimi Hendrix?
ENTY,instru,What instrument does Benny Carter play ?,Instrumen apa yang dimainkan Benny Carter?
ENTY,lang,What is the primary language of the Philippines ?,Apa bahasa utama Filipina?
ENTY,lang,What 's the official language of Algeria ?,Apa bahasa resmi Aljazair?
ENTY,letter,What is the alphabet for Latin ?,Apa alfabet untuk bahasa Latin?
ENTY,letter,What letter appears on the cold-water tap in Spain ?,Surat apa yang muncul pada keran air dingin di Spanyol?
DESC,manner,How can I easily remove red wine stains from t-shirts ?,Bagaimana saya bisa dengan mudah menghilangkan noda anggur merah dari kaos?
DESC,manner,How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,Bagaimana saya bisa mengetahui berapa banyak pajak penghasilan yang dibayarkan atas pendapatan Jaminan Sosial atas pajak penghasilan tahun 1998?
DESC,manner,How did the war of 1812 affect Delaware ?,Bagaimana perang tahun 1812 memengaruhi Delaware?
DESC,manner,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,Bagaimana Anda mengirim transkrip film ke Hollywood sehingga dapat diproduksi menjadi film?
DESC,manner,How is water treated to make it safe to drink ?,Bagaimana air diolah agar aman untuk diminum?
DESC,manner,How do I e-mail someone at aol.com from yahoo.com ?,Bagaimana cara mengirim email kepada seseorang di aol.com dari yahoo.com?
DESC,manner,How can you prevent it ?,Bagaimana Anda bisa mencegahnya?
DESC,manner,How do windmills work ?,Bagaimana cara kerja kincir angin?
DESC,manner,How do you ask a total stranger out on a date ?,Bagaimana Anda mengajak orang asing keluar berkencan?
DESC,manner,How do storms form ?,Bagaimana badai terbentuk?
DESC,manner,How did Rocky Marciano die ?,Bagaimana Rocky Marciano mati?
NUM,money,What is the average salary of a paleontologist ?,Berapa gaji rata-rata seorang ahli paleontologi?
NUM,money,How much will gas be taxed in California by the year 2000 ?,Berapa banyak gas yang akan dikenakan pajak di California pada tahun 2000?
NUM,money,How much did a McDonald 's hamburger cost in 1963 ?,Berapa harga hamburger McDonald pada tahun 1963?
NUM,money,What is the average cost for four years of medical school ?,Berapa biaya rata-rata selama empat tahun sekolah kedokteran?
NUM,money,What is average salary of restaurant manager in United States ?,Berapa gaji rata-rata manajer restoran di Amerika Serikat?
LOC,mount,Where is the highest point in Japan ?,Di mana titik tertinggi di Jepang?
LOC,mount,What are the four largest mountain ranges on the Asian continent ?,Apa empat jajaran gunung terbesar di benua Asia?
LOC,mount,What 's the second-highest mountain in the world ?,Apa gunung tertinggi kedua di dunia?
NUM,ord,What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?,Bab berapa pada Gone with the Wind dimana Rhett Butler meninggalkan Scarlett O 'Hara?
ENTY,other,What trade did the 15th and 16th century Portuguese hope to control between Asia and Europe ?,Perdagangan apa yang diharapkan Portugis pada abad ke 15 dan 16 untuk mengendalikan antara Asia dan Eropa?
ENTY,other,What are the 7 articles of the constitution ?,Apa saja 7 pasal konstitusi?
ENTY,other,What does it take to be a hero ?,Apa yang diperlukan untuk menjadi pahlawan?
ENTY,other,What did Vasco da Gama discover ?,Apa yang ditemukan Vasco da Gama?
ENTY,other,What 's the shape of a camel 's spine ?,Bagaimana bentuk tulang punggung unta?
ENTY,other,Which of the five senses develops first ?,Manakah dari panca indera yang pertama kali berkembang?
ENTY,other,What do Hasidic Jews refrain from while dating ?,Apa yang dihindari orang Yahudi Hasid saat berpacaran?
LOC,other,Where is Windsor Castle ?,Di mana Windsor Castle?
LOC,other,Where must a soccer goalie stand to be permitted to handle the ball ?,Di mana harus berdiri kiper sepak bola diizinkan untuk menangani bola?
LOC,other,Where is Mozambique located ?,Di mana Mozambik berada?
LOC,other,Where can I find information on George Bush ?,Di mana saya dapat menemukan informasi tentang George Bush?
LOC,other,What is the website for the USA journal ?,Apa situs web untuk jurnal USA?
LOC,other,What desert has been called The Garden of Allah ?,Gurun apa yang disebut Taman Allah?
LOC,other,What is the brightest star visible from Earth ?,Apa bintang paling terang yang terlihat dari Bumi?
LOC,other,Where did surfing originate ?,Dari mana asalnya berselancar?
LOC,other,Where can stocks be traded on-line ?,Di mana saham dapat diperdagangkan secara online?
LOC,other,Where can I find the status of my tax return ?,Di mana saya dapat menemukan status pengembalian pajak saya?
LOC,other,Where is Trinidad ?,Dimanakah Trinidad?
LOC,other,Where does Ray Bradbury 's Chronicles take place ?,Di mana Ray Bradbury's Chronicles berlangsung?
LOC,other,Where can I find a  Fifth Element  screensaver ?,Di mana saya dapat menemukan screensaver Fifth Element?
LOC,other,Where was Lincoln assassinated ?,Di mana Lincoln dibunuh?
LOC,other,Where did Honecker rule ?,Di mana Honecker memerintah?
LOC,other,What lake is Sheboygan on ?,Danau apa itu tempat Sheboygan?
LOC,other,Where can I find a list of  classic  books 5th and 6th graders should read ?,Di mana saya dapat menemukan daftar buku klasik yang harus dibaca oleh siswa kelas 5 dan 6?
LOC,other,Where can I find correct tabs for Third Eye Blind songs ?,Di mana saya dapat menemukan tab yang benar untuk lagu Third Eye Blind?
LOC,other,What is worth seeing in Reims ?,Apa yang pantas dilihat di Reims?
LOC,other,Where did the world come from ?,Dari mana dunia berasal?
LOC,other,Where is the Virtual Desk Reference ?,Di mana Referensi Meja Virtual?
NUM,other,What are the numbers that fit into Fermont 's last theorem ?,Berapa angka yang cocok dengan teorema terakhir Fermont?
NUM,other,What is the chromosome number of an elephant ?,Berapa jumlah kromosom gajah?
NUM,other,What is the normal resting heart rate of a healthy adult ?,Berapa denyut jantung istirahat normal orang dewasa yang sehat?
NUM,perc,Independent silversmith 's account for what percentage of silver production ?,Akun pengrajin perak independen berapa persentase produksi perak?
NUM,perc,What percentage of the body is muscle ?,Berapa persentase tubuh yang merupakan otot?
NUM,perc,What was the target rate for M3 growth in 1992 ?,Berapa tingkat target pertumbuhan M3 pada tahun 1992?
NUM,period,How long would it take to get from Earth to Mars ?,Berapa lama untuk pergi dari Bumi ke Mars?
NUM,period,What is the youngest age a boy or girl can have an orgasm ?,Berapakah usia termuda yang bisa dicapai seorang pria atau wanita?
NUM,period,How long does it take the Milky Way Galaxy to make one revolution ?,Berapa lama waktu yang dibutuhkan galaksi Bima Sakti untuk membuat satu revolusi?
NUM,period,How long should a person wash their hands before they are clean ?,Berapa lama seseorang harus mencuci tangan sebelum bersih?
ENTY,plant,What flower did Vincent Van Gogh paint ?,Bunga apa yang dilukis Vincent Van Gogh?
ENTY,plant,What is the most widely cultivated plant ?,Apa tanaman yang paling banyak dibudidayakan?
ENTY,product,What is the fastest computer ?,Apa itu komputer tercepat?
ENTY,product,What is the best brand for a laptop computer ?,Apa merek terbaik untuk komputer laptop?
ENTY,product,"What shampoo prevents eczema , seborrhea , and psoriasis ?","Shampo apa yang mencegah eksim, seborea, dan psoriasis?"
ENTY,product,What is the brand name of a chemical used to control ripening ?,Apa nama merek bahan kimia yang digunakan untuk mengontrol pematangan?
DESC,reason,Why were people recruited for the Vietnam War ?,Mengapa orang-orang direkrut untuk Perang Vietnam?
DESC,reason,What 's the claim to fame of night watchman Frank Wills ?,"Apa klaim ketenaran penjaga malam, Frank Wills?"
DESC,reason,What are the most common causes of death in the U.S. ?,Apa penyebab kematian paling umum di AS?
DESC,reason,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,Mengapa Muhammad Ali dicopot dari gelarnya dan dilarang bertinju pada tahun 1967?
DESC,reason,Why do many Native American students not complete college ?,Mengapa banyak siswa asli Amerika tidak menyelesaikan kuliah?
DESC,reason,Why do oceans contain salt water instead of fresh water ?,Mengapa lautan mengandung air asin dan bukannya air tawar?
DESC,reason,What is Archimedes famous for ?,Apa yang terkenal dengan Archimedes?
DESC,reason,What causes someone to be ticklish ?,Apa yang menyebabkan seseorang geli?
DESC,reason,What function does homeostasis have on the existence of an organism ?,Fungsi apa yang dimiliki homeostasis pada keberadaan suatu organisme?
DESC,reason,What is Garry Kasparov famous for ?,Apa yang terkenal dengan Garry Kasparov?
DESC,reason,Why do girls have to wear training bras ?,Mengapa perempuan harus memakai bra pelatihan?
ENTY,religion,What religion has the most members ?,Agama apa yang memiliki pengikit terbanyak?
NUM,speed,What is the speed of the Mississippi River ?,Berapa kecepatan Sungai Mississippi?
NUM,speed,What is the speed of the Mississippi River ?,Berapa kecepatan Sungai Mississippi?
ENTY,sport,"What indoor sport saw the Phoenix Inferno become the Phoenix Pride on July 14 , 1983 , when the temperature hit 111 degrees ?","Olahraga dalam ruangan apa yang membuat Phoenix Inferno menjadi Kebanggaan Phoenix pada 14 Juli 1983, ketika suhunya mencapai 111 derajat?"
ENTY,sport,The second most popular sport worldwide is what ?,Olahraga paling populer kedua di dunia adalah apa?
ENTY,sport,What kind of sport is often associated with hooligans ?,Jenis olahraga apa yang sering dikaitkan dengan hooligan?
ENTY,sport,What game is fatal to anybody over 21 ?,Game apa yang fatal bagi siapa pun yang berusia di atas 21?
LOC,state,What is the fastest growing state in the U.S.A. in 1998 ?,Apa negara dengan pertumbuhan tercepat di AS pada tahun 1998?
LOC,state,What U.S. state 's biggest lake is Lake Sam Rayburn ?,Apa danau terbesar negara bagian AS adalah Danau Sam Rayburn?
LOC,state,What state was named the Green Mountain state ?,Negara apa yang disebut negara Green Mountain?
ENTY,substance,What did the ancients call the four great elements ?,Apa yang dahulu disebut empat unsur utama?
ENTY,substance,What are the stars made of ?,Terbuat dari apakah bintang-bintang itu?
ENTY,substance,What are the most common elements in seawater ?,Apa elemen paling umum di air laut?
ENTY,substance,What was paper made of in the late 16th century ?,Terbuat dari apakah kertas pada akhir abad ke-16?
ENTY,symbol,What is the chemical formula for napalm ?,Apa rumus kimia untuk napalm?
ENTY,symbol,What playing card symbolizes death ?,Kartu bermain apa yang melambangkan kematian?
ENTY,techmeth,In what ways did Ivan IV support Russian expansion ?,Dalam hal apa Ivan IV mendukung ekspansi Rusia?
ENTY,techmeth,What 's an easy way to count the approximate number of fish in a lake ?,Apa cara mudah untuk menghitung perkiraan jumlah ikan di danau?
ENTY,techmeth,What is the treatment for depression ?,Apa pengobatan untuk depresi?
NUM,temp,How hot does the inside of an active volcano get ?,Seberapa panas bagian dalam gunung berapi yang aktif?
NUM,temp,What is the temperature for cooking ?,Berapa suhu untuk memasak?
ENTY,termeq,What is the term for someone who hates mankind ?,Apa istilah untuk seseorang yang membenci umat manusia?
ENTY,termeq,What are dinosaur droppings called ?,Disebut apakah kotoran dinosaurus?
ENTY,termeq,"How do you say ,  I love you  in other languages ?","Bagaimana kamu mengucapkan, aku mencintaimu dalam bahasa lain?"
HUM,title,What is Nicholas Cage 's occupation ?,Apa pekerjaan Nicholas Cage?
HUM,title,What title did Suzette Charles assume for two months in 1984 ?,Gelar apa yang diasumsikan Suzette Charles selama dua bulan pada tahun 1984?
HUM,title,What title does comedian Henry Youngman claim ?,Apa gelar yang didapatkan oleh komedian Henry Youngman?
ENTY,veh,What was the name of Aristotle Onassis 's yacht ?,Siapa nama kapal pesiar Aristoteles Onassis?
ENTY,veh,What was the name of Robert Fulton 's most famous steamboat ?,Siapa nama kapal uap Robert Fulton yang paling terkenal?
ENTY,veh,What 's the name of Jacques Cousteau 's research ship ?,Apa nama kapal penelitian Jacques Cousteau?
NUM,volsize,How big is Australia ?,Seberapa besar Australia?
NUM,volsize,What is the acreage of the Chappellet vineyard ?,Apa luas kebun anggur Chappellet?
NUM,weight,"What is the recommended weight of a 15 year-old male that is 5 , 6 ?","Berapa berat yang direkomendasikan dari seorang pria berusia 15 tahun yaitu 5, 6?"
NUM,weight,What do Englishmen weigh themselves in ?,Di mana orang Inggris menimbang diri mereka sendiri?
ENTY,word,What 's the international radio code word for the letter B ?,Apa kata kode radio internasional untuk huruf B?
ENTY,word,What English word has the most letters ?,Kata bahasa Inggris apa yang paling banyak mengandung huruf?
ENTY,word,What is another word for diet ?,Apa kata lain untuk diet?
ABBR,abb,What is the acronym for the National Bureau of Investigation ?,Apa akronim untuk Biro Investigasi Nasional?
ABBR,abb,What is the correct way to abbreviate cc. at the bottom of a business letter ?,Apa cara yang benar untuk menyingkat cc.???di bagian bawah surat bisnis?
ENTY,animal,What kind of animals were in the Paleozoic era ?,Hewan seperti apa yang ada di era Paleozoikum?
ENTY,animal,"In Hemingway 's  Old Man and the Sea ,  what kind of fish does the old man catch ?","Di Hemingway's Old Man and the Sea, jenis ikan apa yang ditangkap oleh orang tua itu?"
ENTY,animal,What was the name of Baretta 's cockatoo ?,Siapa nama kakatua Baretta?
ENTY,animal,What two animals are specifically mentioned as being in Noah 's Ark ?,Apa dua binatang yang secara khusus disebutkan berada di Bahtera Nuh?
ENTY,animal,What are the two largest birds on earth ?,Apa dua burung terbesar di dunia?
ENTY,body,What is the only gland in humans that can regenerate itself ?,Apa satu-satunya kelenjar pada manusia yang bisa beregenerasi sendiri?
