coarse,fine,english,indo
ENTY,veh,What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?,Apa kapal karam Nantucket yang membunuh lebih banyak penyelam yang menjelajahinya daripada 52 orang yang tenggelam dengannya?
ENTY,veh,What ocean liner burned and sank in Hong Kong harbor ?,Apa kapal laut yang terbakar dan tenggelam di pelabuhan Hong Kong?
NUM,volsize,How big is the largest diamond ?,Seberapa besar berlian terbesar?
NUM,volsize,How big is the universe actually ?,Seberapa besar sebenarnya alam semesta?
NUM,weight,How much did a knight 's armor weigh ?,Berapa berat baju besi seorang ksatria?
NUM,weight,What is the average weight for a man ?,Berapa berat rata-rata untuk pria?
NUM,weight,What is the weight of a teaspoon of matter in a black hole ?,Berapa berat satu sendok teh materi di dalam lubang hitam?
ENTY,word,What are the first six words of Dickens 's A Tale of Two Cities ?,Apa enam kata pertama dari Dickens's A Tale of Two Cities?
ENTY,word,What is the plural of gulf ?,Apa jamak dari jurang?
ENTY,word,"What English word comes from the Old French covrefeu , meaning cover fire ?","Apa kata bahasa Inggris yang berasal dari kata Old French covrefeu, yang berarti cover fire?"
